PW_MODEL_PW2281S_20_6 
Capacity=2.2328AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 3.197168, 0.140981 
1, 3.286261, 0.140564 
2, 3.286261, 0.140564 
3, 3.344702, 0.140276 
4, 3.384266, 0.140055 
5, 3.384266, 0.140055 
6, 3.412083, 0.139765 
7, 3.433231, 0.139581 
8, 3.433231, 0.139581 
9, 3.450735, 0.139357 
10, 3.466026, 0.139188 
11, 3.466026, 0.139188 
12, 3.479601, 0.139099 
13, 3.492111, 0.139049 
14, 3.492111, 0.139049 
15, 3.503845, 0.139036 
16, 3.515041, 0.139055 
17, 3.515041, 0.139055 
18, 3.526012, 0.139045 
19, 3.536966, 0.139085 
20, 3.536966, 0.139085 
21, 3.548157, 0.13922 
22, 3.559492, 0.139189 
23, 3.559492, 0.139189 
24, 3.571218, 0.139291 
25, 3.583185, 0.139253 
26, 3.583185, 0.139253 
27, 3.595573, 0.139316 
28, 3.608232, 0.139373 
29, 3.608232, 0.139373 
30, 3.621117, 0.139386 
31, 3.63409, 0.139427 
32, 3.63409, 0.139427 
33, 3.647099, 0.139485 
34, 3.659801, 0.139434 
35, 3.659801, 0.139434 
36, 3.67227, 0.139445 
37, 3.684315, 0.139445 
38, 3.684315, 0.139445 
39, 3.695906, 0.139441 
40, 3.706944, 0.139431 
41, 3.706944, 0.139431 
42, 3.717501, 0.139433 
43, 3.727581, 0.139425 
44, 3.727581, 0.139425 
45, 3.737234, 0.139414 
46, 3.74655, 0.139439 
47, 3.74655, 0.139439 
48, 3.755566, 0.139454 
49, 3.764324, 0.139452 
50, 3.772894, 0.139456 
51, 3.772894, 0.139456 
52, 3.781313, 0.139416 
53, 3.789551, 0.139416 
54, 3.789551, 0.139416 
55, 3.797705, 0.139393 
56, 3.805767, 0.13937 
57, 3.805767, 0.13937 
58, 3.813883, 0.139412 
59, 3.821873, 0.139387 
60, 3.821873, 0.139387 
61, 3.829975, 0.139374 
62, 3.838177, 0.139393 
63, 3.838177, 0.139393 
64, 3.846504, 0.139364 
65, 3.855085, 0.13937 
66, 3.855085, 0.13937 
67, 3.863922, 0.139391 
68, 3.873032, 0.139403 
69, 3.873032, 0.139403 
70, 3.882465, 0.139473 
71, 3.892136, 0.139351 
72, 3.892136, 0.139351 
73, 3.902096, 0.139372 
74, 3.912258, 0.139391 
75, 3.912258, 0.139391 
76, 3.922491, 0.139444 
77, 3.932735, 0.139484 
78, 3.932735, 0.139484 
79, 3.942884, 0.13952 
80, 3.952864, 0.139555 
81, 3.952864, 0.139555 
82, 3.962551, 0.139625 
83, 3.972061, 0.139662 
84, 3.972061, 0.139662 
85, 3.981379, 0.139702 
86, 3.990658, 0.139717 
87, 3.990658, 0.139717 
88, 4.000097, 0.139766 
89, 4.009964, 0.139774 
90, 4.009964, 0.139774 
91, 4.020559, 0.139806 
92, 4.032194, 0.13981 
93, 4.032194, 0.13981 
94, 4.045282, 0.139808 
95, 4.060732, 0.140038 
96, 4.060732, 0.140038 
97, 4.075169, 0.140229 
98, 4.097799, 0.140533 
99, 4.097799, 0.140533 
100, 4.150503, 0.139524 
