TEST_PARAM.comment:,LP503652-10mA

SourceMeter Model:,2400
SourceMeter S/N:,0788255
SourceMeter Firmware:,C32

TEST_PARAM.terminals:,REAR TERMINALS

TEST_PARAM.initial_voc:,4.170334
TEST_PARAM.vcutoff:,3.1

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,0.01
TEST_PARAM.max_discharge_current:,0.01

TEST_PARAM.measure_interval:,600.0

TEST_PARAM.discharge_start_time:,12/01/21 12:39:57
TEST_PARAM.discharge_stop_time:,12/06/21 21:00:07

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,1,0.0,4.170042,4.167849,0.2193
BATT_MODEL_RAW:,2,600.015,4.161705,4.159508,0.2197
BATT_MODEL_RAW:,3,1200.031,4.156168,4.153957,0.2211
BATT_MODEL_RAW:,4,1800.049,4.151556,4.149343,0.2213
BATT_MODEL_RAW:,5,2400.062,4.147579,4.14537,0.2209
BATT_MODEL_RAW:,6,3000.078,4.144077,4.141876,0.2201
BATT_MODEL_RAW:,7,3600.094,4.14094,4.138735,0.2205
BATT_MODEL_RAW:,8,4200.112,4.138075,4.135878,0.2197
BATT_MODEL_RAW:,9,4800.13,4.135426,4.133226,0.22
BATT_MODEL_RAW:,10,5400.144,4.132933,4.130722,0.2211
BATT_MODEL_RAW:,11,6000.161,4.13056,4.12838,0.218
BATT_MODEL_RAW:,12,6600.178,4.12829,4.126106,0.2184
BATT_MODEL_RAW:,13,7200.192,4.126104,4.123919,0.2185
BATT_MODEL_RAW:,14,7800.209,4.123995,4.121805,0.219
BATT_MODEL_RAW:,15,8400.226,4.121954,4.119772,0.2182
BATT_MODEL_RAW:,16,9000.243,4.119968,4.117781,0.2187
BATT_MODEL_RAW:,17,9600.26,4.118021,4.115837,0.2184
BATT_MODEL_RAW:,18,10200.274,4.116108,4.113937,0.2171
BATT_MODEL_RAW:,19,10800.294,4.114258,4.112082,0.2176
BATT_MODEL_RAW:,20,11400.31,4.112423,4.110252,0.2171
BATT_MODEL_RAW:,21,12000.326,4.110634,4.108467,0.2167
BATT_MODEL_RAW:,22,12600.342,4.108871,4.106712,0.2159
BATT_MODEL_RAW:,23,13200.356,4.107143,4.104971,0.2172
BATT_MODEL_RAW:,24,13800.372,4.105431,4.103275,0.2156
BATT_MODEL_RAW:,25,14400.391,4.103745,4.101585,0.216
BATT_MODEL_RAW:,26,15000.41,4.102095,4.099922,0.2173
BATT_MODEL_RAW:,27,15600.426,4.100452,4.098288,0.2164
BATT_MODEL_RAW:,28,16200.443,4.09882,4.096649,0.2171
BATT_MODEL_RAW:,29,16800.456,4.097198,4.095005,0.2193
BATT_MODEL_RAW:,30,17400.473,4.095606,4.09343,0.2176
BATT_MODEL_RAW:,31,18000.489,4.094042,4.091841,0.2201
BATT_MODEL_RAW:,32,18600.504,4.092466,4.090288,0.2178
BATT_MODEL_RAW:,33,19200.521,4.09096,4.088749,0.2211
BATT_MODEL_RAW:,34,19800.541,4.089451,4.087236,0.2215
BATT_MODEL_RAW:,35,20400.56,4.087963,4.085751,0.2212
BATT_MODEL_RAW:,36,21000.577,4.086483,4.084284,0.2199
BATT_MODEL_RAW:,37,21600.592,4.085051,4.08285,0.2201
BATT_MODEL_RAW:,38,22200.611,4.083624,4.081425,0.2199
BATT_MODEL_RAW:,39,22800.634,4.082226,4.080038,0.2188
BATT_MODEL_RAW:,40,23400.644,4.080837,4.078642,0.2195
BATT_MODEL_RAW:,41,24000.661,4.079464,4.077278,0.2186
BATT_MODEL_RAW:,42,24600.682,4.078104,4.075924,0.218
BATT_MODEL_RAW:,43,25200.695,4.076763,4.074596,0.2167
BATT_MODEL_RAW:,44,25800.709,4.075422,4.07324,0.2182
BATT_MODEL_RAW:,45,26400.726,4.074097,4.071896,0.2201
BATT_MODEL_RAW:,46,27000.742,4.072779,4.070587,0.2192
BATT_MODEL_RAW:,47,27600.756,4.07148,4.069286,0.2194
BATT_MODEL_RAW:,48,28200.777,4.070198,4.067993,0.2205
BATT_MODEL_RAW:,49,28800.793,4.068932,4.066727,0.2205
BATT_MODEL_RAW:,50,29400.813,4.067699,4.065479,0.222
BATT_MODEL_RAW:,51,30000.824,4.066467,4.06426,0.2207
BATT_MODEL_RAW:,52,30600.844,4.065252,4.063032,0.222
BATT_MODEL_RAW:,53,31200.863,4.064079,4.061853,0.2226
BATT_MODEL_RAW:,54,31800.888,4.062878,4.060654,0.2224
BATT_MODEL_RAW:,55,32400.899,4.061729,4.059505,0.2224
BATT_MODEL_RAW:,56,33000.91,4.060608,4.058378,0.223
BATT_MODEL_RAW:,57,33600.928,4.059484,4.057253,0.2231
BATT_MODEL_RAW:,58,34200.948,4.058376,4.056143,0.2233
BATT_MODEL_RAW:,59,34800.968,4.057289,4.055048,0.2241
BATT_MODEL_RAW:,60,35400.982,4.056232,4.053997,0.2235
BATT_MODEL_RAW:,61,36001.001,4.055191,4.052956,0.2235
BATT_MODEL_RAW:,62,36601.011,4.054161,4.051926,0.2235
BATT_MODEL_RAW:,63,37201.02,4.053158,4.050917,0.2241
BATT_MODEL_RAW:,64,37801.04,4.052189,4.049944,0.2245
BATT_MODEL_RAW:,65,38401.062,4.051218,4.048965,0.2253
BATT_MODEL_RAW:,66,39001.08,4.050272,4.048025,0.2247
BATT_MODEL_RAW:,67,39601.097,4.049337,4.047087,0.225
BATT_MODEL_RAW:,68,40201.108,4.048437,4.046192,0.2245
BATT_MODEL_RAW:,69,40801.126,4.047558,4.045303,0.2255
BATT_MODEL_RAW:,70,41401.141,4.046698,4.044447,0.2251
BATT_MODEL_RAW:,71,42001.157,4.045841,4.043581,0.226
BATT_MODEL_RAW:,72,42601.125,4.045023,4.042761,0.2262
BATT_MODEL_RAW:,73,43201.14,4.044233,4.041971,0.2262
BATT_MODEL_RAW:,74,43801.159,4.043427,4.041161,0.2266
BATT_MODEL_RAW:,75,44401.175,4.04266,4.040401,0.2259
BATT_MODEL_RAW:,76,45001.189,4.041916,4.039646,0.227
BATT_MODEL_RAW:,77,45601.204,4.041195,4.038923,0.2272
BATT_MODEL_RAW:,78,46201.221,4.04047,4.0382,0.227
BATT_MODEL_RAW:,79,46801.238,4.039759,4.0375,0.2259
BATT_MODEL_RAW:,80,47401.211,4.039089,4.036816,0.2273
BATT_MODEL_RAW:,81,48001.224,4.038399,4.036131,0.2268
BATT_MODEL_RAW:,82,48601.24,4.037745,4.035467,0.2278
BATT_MODEL_RAW:,83,49201.258,4.037088,4.034815,0.2273
BATT_MODEL_RAW:,84,49801.275,4.036449,4.034164,0.2285
BATT_MODEL_RAW:,85,50401.295,4.035814,4.033541,0.2273
BATT_MODEL_RAW:,86,51001.31,4.035198,4.032919,0.2279
BATT_MODEL_RAW:,87,51601.328,4.034588,4.032314,0.2274
BATT_MODEL_RAW:,88,52201.346,4.033998,4.031719,0.2279
BATT_MODEL_RAW:,89,52801.363,4.033401,4.031124,0.2277
BATT_MODEL_RAW:,90,53401.377,4.032801,4.030523,0.2278
BATT_MODEL_RAW:,91,54001.394,4.032207,4.029926,0.2281
BATT_MODEL_RAW:,92,54601.409,4.031605,4.029316,0.2289
BATT_MODEL_RAW:,93,55201.426,4.031004,4.028717,0.2287
BATT_MODEL_RAW:,94,55801.442,4.030376,4.028099,0.2277
BATT_MODEL_RAW:,95,56401.457,4.029755,4.027472,0.2283
BATT_MODEL_RAW:,96,57001.474,4.029123,4.026838,0.2285
BATT_MODEL_RAW:,97,57601.49,4.02849,4.026205,0.2285
BATT_MODEL_RAW:,98,58201.508,4.02783,4.025541,0.2289
BATT_MODEL_RAW:,99,58801.526,4.027174,4.024879,0.2295
BATT_MODEL_RAW:,100,59401.542,4.026484,4.024199,0.2285
BATT_MODEL_RAW:,101,60001.561,4.025797,4.023499,0.2298
BATT_MODEL_RAW:,102,60601.578,4.025097,4.022808,0.2289
BATT_MODEL_RAW:,103,61201.594,4.02437,4.022076,0.2294
BATT_MODEL_RAW:,104,61801.61,4.023623,4.021332,0.2291
BATT_MODEL_RAW:,105,62401.627,4.022856,4.020557,0.2299
BATT_MODEL_RAW:,106,63001.645,4.022074,4.019789,0.2285
BATT_MODEL_RAW:,107,63601.663,4.021275,4.018978,0.2297
BATT_MODEL_RAW:,108,64201.677,4.020454,4.018162,0.2292
BATT_MODEL_RAW:,109,64801.693,4.019613,4.017321,0.2292
BATT_MODEL_RAW:,110,65401.705,4.018744,4.016451,0.2293
BATT_MODEL_RAW:,111,66001.719,4.017862,4.015566,0.2296
BATT_MODEL_RAW:,112,66601.735,4.016953,4.014648,0.2305
BATT_MODEL_RAW:,113,67201.754,4.016026,4.013725,0.2301
BATT_MODEL_RAW:,114,67801.773,4.015076,4.012774,0.2302
BATT_MODEL_RAW:,115,68401.787,4.014097,4.011805,0.2292
BATT_MODEL_RAW:,116,69001.793,4.013092,4.010796,0.2296
BATT_MODEL_RAW:,117,69601.805,4.012106,4.009804,0.2302
BATT_MODEL_RAW:,118,70201.805,4.011086,4.008783,0.2303
BATT_MODEL_RAW:,119,70801.818,4.010036,4.007734,0.2302
BATT_MODEL_RAW:,120,71401.82,4.00897,4.006674,0.2296
BATT_MODEL_RAW:,121,72001.839,4.007906,4.0056,0.2306
BATT_MODEL_RAW:,122,72601.861,4.006819,4.004515,0.2304
BATT_MODEL_RAW:,123,73201.873,4.005718,4.003426,0.2292
BATT_MODEL_RAW:,124,73801.874,4.004601,4.002308,0.2293
BATT_MODEL_RAW:,125,74401.873,4.003473,4.001173,0.23
BATT_MODEL_RAW:,126,75001.891,4.002337,4.000051,0.2286
BATT_MODEL_RAW:,127,75601.906,4.001181,3.998888,0.2293
BATT_MODEL_RAW:,128,76201.922,4.000021,3.997734,0.2287
BATT_MODEL_RAW:,129,76801.939,3.998867,3.996569,0.2298
BATT_MODEL_RAW:,130,77401.953,3.997692,3.995396,0.2296
BATT_MODEL_RAW:,131,78001.973,3.996506,3.994209,0.2297
BATT_MODEL_RAW:,132,78601.992,3.995302,3.993011,0.2291
BATT_MODEL_RAW:,133,79202.013,3.99412,3.991829,0.2291
BATT_MODEL_RAW:,134,79801.982,3.992924,3.990627,0.2297
BATT_MODEL_RAW:,135,80401.996,3.99172,3.989431,0.2289
BATT_MODEL_RAW:,136,81002.007,3.990511,3.98822,0.2291
BATT_MODEL_RAW:,137,81601.989,3.989296,3.987005,0.2291
BATT_MODEL_RAW:,138,82201.997,3.988091,3.985798,0.2293
BATT_MODEL_RAW:,139,82802.014,3.986862,3.984571,0.2291
BATT_MODEL_RAW:,140,83402.029,3.985645,3.983356,0.2289
BATT_MODEL_RAW:,141,84002.042,3.984417,3.982124,0.2293
BATT_MODEL_RAW:,142,84602.06,3.983194,3.980898,0.2296
BATT_MODEL_RAW:,143,85202.078,3.981968,3.979677,0.2291
BATT_MODEL_RAW:,144,85802.09,3.980742,3.978451,0.2291
BATT_MODEL_RAW:,145,86402.105,3.979509,3.977213,0.2296
BATT_MODEL_RAW:,146,87002.12,3.978283,3.975983,0.23
BATT_MODEL_RAW:,147,87602.121,3.977041,3.974741,0.23
BATT_MODEL_RAW:,148,88202.141,3.975813,3.97353,0.2283
BATT_MODEL_RAW:,149,88802.156,3.974586,3.972294,0.2292
BATT_MODEL_RAW:,150,89402.17,3.973372,3.971069,0.2303
BATT_MODEL_RAW:,151,90002.177,3.97213,3.969841,0.2289
BATT_MODEL_RAW:,152,90602.201,3.970921,3.96862,0.2301
BATT_MODEL_RAW:,153,91202.215,3.969687,3.967402,0.2285
BATT_MODEL_RAW:,154,91802.232,3.968473,3.966187,0.2286
BATT_MODEL_RAW:,155,92402.246,3.967249,3.964956,0.2293
BATT_MODEL_RAW:,156,93002.264,3.96604,3.963755,0.2285
BATT_MODEL_RAW:,157,93602.279,3.96483,3.962532,0.2298
BATT_MODEL_RAW:,158,94202.299,3.963614,3.96133,0.2284
BATT_MODEL_RAW:,159,94802.319,3.962399,3.960121,0.2278
BATT_MODEL_RAW:,160,95402.337,3.961195,3.958914,0.2281
BATT_MODEL_RAW:,161,96002.347,3.959991,3.957708,0.2283
BATT_MODEL_RAW:,162,96602.366,3.958792,3.956516,0.2276
BATT_MODEL_RAW:,163,97202.379,3.957596,3.955309,0.2287
BATT_MODEL_RAW:,164,97802.395,3.956409,3.954123,0.2286
BATT_MODEL_RAW:,165,98402.413,3.955214,3.952934,0.228
BATT_MODEL_RAW:,166,99002.426,3.954046,3.951761,0.2285
BATT_MODEL_RAW:,167,99602.451,3.952858,3.950573,0.2285
BATT_MODEL_RAW:,168,100202.47,3.951679,3.949392,0.2287
BATT_MODEL_RAW:,169,100802.486,3.950497,3.948221,0.2276
BATT_MODEL_RAW:,170,101402.498,3.949339,3.94705,0.2289
BATT_MODEL_RAW:,171,102002.514,3.948166,3.945883,0.2283
BATT_MODEL_RAW:,172,102602.536,3.946997,3.944714,0.2283
BATT_MODEL_RAW:,173,103202.559,3.945845,3.943563,0.2282
BATT_MODEL_RAW:,174,103802.578,3.944687,3.942402,0.2285
BATT_MODEL_RAW:,175,104402.603,3.943544,3.941252,0.2292
BATT_MODEL_RAW:,176,105002.611,3.942396,3.940119,0.2277
BATT_MODEL_RAW:,177,105602.623,3.941273,3.938986,0.2287
BATT_MODEL_RAW:,178,106202.646,3.94013,3.937847,0.2283
BATT_MODEL_RAW:,179,106802.659,3.939013,3.936726,0.2287
BATT_MODEL_RAW:,180,107402.677,3.93791,3.935617,0.2293
BATT_MODEL_RAW:,181,108002.692,3.936802,3.934523,0.2279
BATT_MODEL_RAW:,182,108602.709,3.935717,3.933439,0.2278
BATT_MODEL_RAW:,183,109202.722,3.934645,3.932367,0.2278
BATT_MODEL_RAW:,184,109802.735,3.93359,3.931311,0.2279
BATT_MODEL_RAW:,185,110402.753,3.932508,3.930229,0.2279
BATT_MODEL_RAW:,186,111002.775,3.931471,3.92919,0.2281
BATT_MODEL_RAW:,187,111602.791,3.930424,3.928137,0.2287
BATT_MODEL_RAW:,188,112202.801,3.929392,3.927114,0.2278
BATT_MODEL_RAW:,189,112802.819,3.928354,3.926069,0.2285
BATT_MODEL_RAW:,190,113402.839,3.92734,3.925062,0.2278
BATT_MODEL_RAW:,191,114002.856,3.926327,3.924044,0.2283
BATT_MODEL_RAW:,192,114602.871,3.925333,3.923038,0.2295
BATT_MODEL_RAW:,193,115202.888,3.92436,3.922068,0.2292
BATT_MODEL_RAW:,194,115802.908,3.923388,3.921091,0.2297
BATT_MODEL_RAW:,195,116402.922,3.922428,3.920139,0.2289
BATT_MODEL_RAW:,196,117002.937,3.921486,3.919197,0.2289
BATT_MODEL_RAW:,197,117602.959,3.920561,3.918276,0.2285
BATT_MODEL_RAW:,198,118202.974,3.919636,3.917341,0.2295
BATT_MODEL_RAW:,199,118802.992,3.918724,3.916431,0.2293
BATT_MODEL_RAW:,200,119403.002,3.917824,3.915533,0.2291
BATT_MODEL_RAW:,201,120003.017,3.916925,3.914637,0.2288
BATT_MODEL_RAW:,202,120603.035,3.916042,3.913761,0.2281
BATT_MODEL_RAW:,203,121203.052,3.915188,3.912895,0.2293
BATT_MODEL_RAW:,204,121803.068,3.914314,3.912018,0.2296
BATT_MODEL_RAW:,205,122403.085,3.91345,3.911158,0.2292
BATT_MODEL_RAW:,206,123003.1,3.912586,3.91029,0.2296
BATT_MODEL_RAW:,207,123603.116,3.911749,3.909452,0.2297
