PW_MODEL_PW2281S_20_6 
Capacity=2.6529AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 2.6055870056, 1.8677902222 
1, 2.7050361633, 1.8667602539 
2, 2.780670166, 1.8620300293 
3, 2.8501205444, 1.8545913696 
4, 2.9014663696, 1.8477630615 
5, 2.9515304565, 1.8357849121 
6, 2.9915122986, 1.8215942383 
7, 3.0319595337, 1.8008422852 
8, 3.0653533936, 1.7783355713 
9, 3.0993423462, 1.7515182495 
10, 3.1307182312, 1.7232131958 
11, 3.1572532654, 1.6985321045 
12, 3.1850852966, 1.6707229614 
13, 3.2090377808, 1.6458129883 
14, 3.2354507446, 1.6228485107 
15, 3.2601203918, 1.6089248657 
16, 3.2887229919, 1.6002655029 
17, 3.3148155212, 1.5966415405 
18, 3.3432502747, 1.5933609009 
19, 3.368106842, 1.5902328491 
20, 3.3943519592, 1.586227417 
21, 3.4190063477, 1.582069397 
22, 3.4398345947, 1.5782928467 
23, 3.4620895386, 1.5738296509 
24, 3.4808311462, 1.5710449219 
25, 3.49974823, 1.5685653687 
26, 3.515460968, 1.5663909912 
27, 3.5321083069, 1.5634155273 
28, 3.5468254089, 1.5623092651 
29, 3.5623130798, 1.5612030029 
30, 3.5771217346, 1.559677124 
31, 3.5899429321, 1.5585327148 
32, 3.6036567688, 1.558303833 
33, 3.6154327393, 1.5575408936 
34, 3.6281204224, 1.5575408936 
35, 3.6392478943, 1.5559768677 
36, 3.6514053345, 1.5556335449 
37, 3.6620864868, 1.5551757813 
38, 3.6736335754, 1.5544509888 
39, 3.6835308075, 1.5543556213 
40, 3.694021225, 1.5538597107 
41, 3.70378685, 1.5540504456 
42, 3.7127590179, 1.5527534485 
43, 3.7228813171, 1.5510177612 
44, 3.7316894531, 1.5503311157 
45, 3.741191864, 1.5495681763 
46, 3.7492008209, 1.5493965149 
47, 3.7579364777, 1.5477180481 
48, 3.765920639, 1.5461158752 
49, 3.7742557526, 1.5456581116 
50, 3.7823429108, 1.5449714661 
51, 3.7897586823, 1.5427970886 
52, 3.798500061, 1.5408325195 
53, 3.8062610626, 1.5391921997 
54, 3.8142089844, 1.5383148193 
55, 3.8208789825, 1.537322998 
56, 3.8281917572, 1.5364456177 
57, 3.8348026276, 1.535282135 
58, 3.8424434662, 1.5326499939 
59, 3.8498725891, 1.5301322937 
60, 3.8586997986, 1.5273857117 
61, 3.8677616119, 1.5253067017 
62, 3.8760089874, 1.5228462219 
63, 3.8852081299, 1.5195655823 
64, 3.8935852051, 1.5167617798 
65, 3.9030456543, 1.5139389038 
66, 3.9118289948, 1.5104675293 
67, 3.9217414856, 1.5072250366 
68, 3.9309310913, 1.5036964417 
69, 3.9413070679, 1.5003967285 
70, 3.9519748688, 1.4966201782 
71, 3.9619045258, 1.4930152893 
72, 3.9732894897, 1.4894866943 
73, 3.9838695526, 1.4866447449 
74, 3.996055603, 1.483707428 
75, 4.007390976, 1.4805984497 
76, 4.0204524994, 1.4767456055 
77, 4.0326976776, 1.4738082886 
78, 4.046792984, 1.469745636 
79, 4.0599861145, 1.4664649963 
80, 4.0751094818, 1.4631652832 
81, 4.0908546448, 1.460647583 
82, 4.105424881, 1.4583778381 
83, 4.1221466064, 1.45652771 
84, 4.1375789642, 1.4560508728 
85, 4.1551132202, 1.4542198181 
86, 4.1712093353, 1.452999115 
87, 4.1896038055, 1.4520645142 
88, 4.2066383362, 1.450843811 
89, 4.2261581421, 1.4505195618 
90, 4.2457618713, 1.4529037476 
91, 4.2642059326, 1.4545822144 
92, 4.2864246368, 1.4541053772 
93, 4.3086700439, 1.4534568787 
94, 4.3375282288, 1.450214386 
95, 4.3691749573, 1.4456748962 
96, 4.4130401611, 1.4408111572 
97, 4.462720871, 1.4373970032 
98, 4.5344524384, 1.4363288879 
99, 4.6235771179, 1.4470291138 
100, 4.7953681946, 2.8683280945 
