PW_MODEL_PW2281S_20_6 
Capacity=1.2834AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 3.098961, 0.2552 
1, 3.214245, 0.251 
2, 3.284494, 0.2475 
3, 3.345499, 0.2466 
4, 3.392471, 0.2458 
5, 3.421494, 0.2465 
6, 3.438437, 0.2482 
7, 3.448137, 0.2504 
8, 3.455278, 0.2525 
9, 3.460529, 0.2575 
10, 3.466135, 0.2598 
11, 3.471729, 0.2592 
12, 3.477255, 0.259 
13, 3.485369, 0.2577 
14, 3.495022, 0.2566 
15, 3.503412, 0.2554 
16, 3.51251, 0.2571 
17, 3.521496, 0.2562 
18, 3.530176, 0.2558 
19, 3.537121, 0.256 
20, 3.544249, 0.2552 
21, 3.550722, 0.2533 
22, 3.556143, 0.2539 
23, 3.562351, 0.2535 
24, 3.568659, 0.2531 
25, 3.574074, 0.2533 
26, 3.580021, 0.2525 
27, 3.585638, 0.2529 
28, 3.590738, 0.2508 
29, 3.594809, 0.2497 
30, 3.599134, 0.2483 
31, 3.603214, 0.247 
32, 3.606659, 0.2451 
33, 3.610483, 0.2418 
34, 3.614258, 0.2394 
35, 3.617567, 0.2375 
36, 3.621428, 0.2335 
37, 3.625307, 0.2283 
38, 3.628986, 0.2302 
39, 3.632273, 0.2306 
40, 3.636148, 0.2336 
41, 3.640228, 0.235 
42, 3.643948, 0.2375 
43, 3.648411, 0.243 
44, 3.653517, 0.2436 
45, 3.659069, 0.242 
46, 3.664274, 0.2407 
47, 3.670658, 0.2405 
48, 3.677528, 0.2393 
49, 3.683998, 0.2382 
50, 3.691902, 0.2361 
51, 3.700369, 0.236 
52, 3.708233, 0.2346 
53, 3.717777, 0.2331 
54, 3.727938, 0.2295 
55, 3.738665, 0.2289 
56, 3.748486, 0.2316 
57, 3.761042, 0.2285 
58, 3.774567, 0.2259 
59, 3.786667, 0.2213 
60, 3.799644, 0.221 
61, 3.811699, 0.2235 
62, 3.821484, 0.2236 
63, 3.831913, 0.2281 
64, 3.841595, 0.2318 
65, 3.850943, 0.2343 
66, 3.858667, 0.234 
67, 3.867142, 0.2322 
68, 3.875208, 0.2323 
69, 3.882032, 0.2313 
70, 3.889608, 0.2306 
71, 3.896959, 0.23 
72, 3.903181, 0.23 
73, 3.910055, 0.2294 
74, 3.916925, 0.2288 
75, 3.92436, 0.2292 
76, 3.931471, 0.2281 
77, 3.94013, 0.2283 
78, 3.949339, 0.2289 
79, 3.957596, 0.2287 
80, 3.967249, 0.2293 
81, 3.977041, 0.23 
82, 3.985645, 0.2289 
83, 3.995302, 0.2291 
84, 4.004601, 0.2293 
85, 4.013092, 0.2296 
86, 4.019613, 0.2292 
87, 4.025797, 0.2298 
88, 4.031004, 0.2287 
89, 4.035198, 0.2279 
90, 4.04047, 0.227 
91, 4.046698, 0.2251 
92, 4.053158, 0.2241 
93, 4.061729, 0.2224 
94, 4.07148, 0.2194 
95, 4.082226, 0.2188 
96, 4.092466, 0.2178 
97, 4.105431, 0.2156 
98, 4.119968, 0.2187 
99, 4.135426, 0.22 
100, 4.170042, 0.2193 
