PW_MODEL_PW2281S_20_6 
Capacity=3.1248AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 3.120832, 0.35052 
1, 3.228041, 0.3497733 
2, 3.281281, 0.3494533 
3, 3.324978, 0.3494533 
4, 3.376017, 0.3500133 
5, 3.399191, 0.3507867 
6, 3.419113, 0.35174 
7, 3.427574, 0.3520333 
8, 3.437565, 0.3535067 
9, 3.443293, 0.3551733 
10, 3.451275, 0.3592667 
11, 3.45681, 0.36152 
12, 3.467171, 0.3642933 
13, 3.475088, 0.3655867 
14, 3.486027, 0.3678533 
15, 3.492676, 0.36938 
16, 3.502239, 0.3722867 
17, 3.508533, 0.3751733 
18, 3.517527, 0.3800333 
19, 3.523079, 0.3822067 
20, 3.530739, 0.38382 
21, 3.53554, 0.3847 
22, 3.542475, 0.3854867 
23, 3.547009, 0.3862267 
24, 3.553827, 0.3877467 
25, 3.558323, 0.3887067 
26, 3.564726, 0.3902467 
27, 3.568741, 0.3916067 
28, 3.574322, 0.39274 
29, 3.577831, 0.3934333 
30, 3.582813, 0.3944667 
31, 3.585958, 0.39526 
32, 3.590469, 0.3967667 
33, 3.593363, 0.3978733 
34, 3.597578, 0.3973533 
35, 3.600353, 0.39814 
36, 3.604431, 0.40184 
37, 3.607117, 0.4045867 
38, 3.61116, 0.4088333 
39, 3.613865, 0.4108667 
40, 3.61797, 0.4183133 
41, 3.620737, 0.4242467 
42, 3.624937, 0.43074 
43, 3.62781, 0.4376 
44, 3.632189, 0.4407667 
45, 3.635189, 0.4426333 
46, 3.639776, 0.44666 
47, 3.642937, 0.4499867 
48, 3.647903, 0.4545467 
49, 3.651331, 0.4545333 
50, 3.656761, 0.4557133 
51, 3.660564, 0.4562733 
52, 3.666639, 0.4545933 
53, 3.670946, 0.4555267 
54, 3.677843, 0.47952 
55, 3.682791, 0.5498267 
56, 3.690763, 0.3190867 
57, 3.699341, 0.31984 
58, 3.705475, 0.29156 
59, 3.715412, 0.2918333 
60, 3.722593, 0.28774 
61, 3.733936, 0.27908 
62, 3.741751, 0.2788067 
63, 3.753716, 0.2789333 
64, 3.761732, 0.2427267 
65, 3.769751, 0.24262 
66, 3.781702, 0.2424 
67, 3.793533, 0.24246 
68, 3.801363, 0.2424867 
69, 3.813118, 0.2425267 
70, 3.820993, 0.24256 
71, 3.832752, 0.23974 
72, 3.840656, 0.23938 
73, 3.852602, 0.23926 
74, 3.860586, 0.2392333 
75, 3.87265, 0.23928 
76, 3.880737, 0.23918 
77, 3.892923, 0.2392933 
78, 3.901129, 0.2392333 
79, 3.913544, 0.23888 
80, 3.921881, 0.23894 
81, 3.934446, 0.2387733 
82, 3.942896, 0.2388 
83, 3.955698, 0.2387867 
84, 3.964283, 0.2387467 
85, 3.977304, 0.2387067 
86, 3.986067, 0.2386733 
87, 3.99943, 0.2386867 
88, 4.00843, 0.2386667 
89, 4.022123, 0.2385467 
90, 4.031391, 0.23852 
91, 4.045534, 0.23856 
92, 4.055119, 0.2384733 
93, 4.069773, 0.23828 
94, 4.079782, 0.2382267 
95, 4.095198, 0.2379733 
96, 4.105839, 0.2378333 
97, 4.122547, 0.2376067 
98, 4.134361, 0.2372067 
99, 4.153675, 0.2353533 
100, 4.173601, 0.2323 
